t,f1,f2
0,0.124997,-1
0.005,0.122746,-0.902981
0.01,0.120732,-0.904884
0.015,0.118829,-0.858328
0.02,0.117038,-0.859986
0.025,0.115327,-0.826187
0.03,0.113696,-0.827685
0.035,0.11213,-0.800328
0.04,0.110629,-0.801707
0.045,0.109183,-0.778413
0.05,0.107791,-0.7797
0.055,0.106447,-0.759273
0.06,0.105151,-0.760486
0.065,0.103897,-0.742225
0.07,0.102686,-0.743379
0.075,0.101514,-0.726833
0.08,0.10038,-0.727937
0.085,0.0992809,-0.712795
0.09,0.0982169,-0.713859
0.095,0.0971852,-0.699895
0.1,0.0961857,-0.700927
0.105,0.095216,-0.687972
0.11,0.094276,-0.688979
0.115,0.0933637,-0.676901
0.12,0.0924789,-0.677889
0.125,0.09162,-0.666584
0.13,0.0907867,-0.667559
0.135,0.0899776,-0.656944
0.14,0.0891924,-0.65791
0.145,0.0884299,-0.647917
0.15,0.0876897,-0.648877
0.155,0.0869708,-0.639447
0.16,0.0862729,-0.640406
0.165,0.085595,-0.631491
0.17,0.0849368,-0.632452
0.175,0.0842973,-0.624008
0.18,0.0836764,-0.624974
0.185,0.0830731,-0.616966
0.19,0.0824874,-0.617938
0.195,0.0819182,-0.610333
0.2,0.0813654,-0.611313
0.205,0.0808284,-0.604083
0.21,0.0803068,-0.605072
0.215,0.0798,-0.598192
0.22,0.0793077,-0.59919
0.225,0.0788294,-0.592636
0.23,0.0783649,-0.593645
0.235,0.0779135,-0.587397
0.24,0.077475,-0.588416
0.245,0.077049,-0.582454
0.25,0.0766352,-0.583483
0.255,0.0762331,-0.577791
0.26,0.0758425,-0.57883
0.265,0.0754629,-0.573391
0.27,0.0750943,-0.574439
0.275,0.074736,-0.56924
0.28,0.0743881,-0.570296
0.285,0.0740499,-0.565322
0.29,0.0737215,-0.566386
0.295,0.0734023,-0.561624
0.3,0.0730922,-0.562695
0.305,0.072791,-0.558135
0.31,0.0724983,-0.559212
0.315,0.0722139,-0.554842
0.32,0.0719377,-0.555924
0.325,0.0716693,-0.551735
0.33,0.0714085,-0.552821
0.335,0.0711552,-0.548802
0.34,0.070909,-0.549891
0.345,0.0706699,-0.546034
0.35,0.0704375,-0.547125
0.355,0.0702118,-0.543421
0.36,0.0699925,-0.544514
0.365,0.0697794,-0.540956
0.37,0.0695724,-0.542049
0.375,0.0693712,-0.53863
0.38,0.0691758,-0.539722
0.385,0.0689859,-0.536434
0.39,0.0688015,-0.537525
0.395,0.0686222,-0.534362
0.4,0.0684481,-0.535451
0.405,0.0682789,-0.532406
0.41,0.0681146,-0.533492
0.415,0.0679549,-0.530561
0.42,0.0677998,-0.531643
0.425,0.067649,-0.528819
0.43,0.0675026,-0.529897
0.435,0.0673603,-0.527176
0.44,0.0672221,-0.528249
0.445,0.0670877,-0.525625
0.45,0.0669573,-0.526692
0.455,0.0668305,-0.524162
0.46,0.0667073,-0.525223
0.465,0.0665876,-0.522781
0.47,0.0664714,-0.523835
0.475,0.0663584,-0.521478
0.48,0.0662487,-0.522524
0.485,0.066142,-0.520249
0.49,0.0660384,-0.521287
0.495,0.0659378,-0.519088
0.5,0.06584,-0.520118
0.505,0.065745,-0.517994
0.51,0.0656527,-0.519015
0.515,0.065563,-0.516961
0.52,0.0654758,-0.517973
0.525,0.0653912,-0.515986
0.53,0.0653089,-0.516989
0.535,0.065229,-0.515067
0.54,0.0651514,-0.51606
0.545,0.0650759,-0.5142
0.55,0.0650027,-0.515182
0.555,0.0649314,-0.513381
0.56,0.0648623,-0.514353
0.565,0.0647951,-0.512609
0.57,0.0647298,-0.51357
0.575,0.0646663,-0.51188
0.58,0.0646047,-0.512831
0.585,0.0645448,-0.511193
0.59,0.0644866,-0.512133
0.595,0.0644301,-0.510545
0.6,0.0643752,-0.511473
0.605,0.0643218,-0.509933
0.61,0.0642699,-0.51085
0.615,0.0642196,-0.509356
0.62,0.0641706,-0.510262
0.625,0.0641231,-0.508812
0.63,0.0640769,-0.509706
0.635,0.064032,-0.508299
0.64,0.0639884,-0.509182
0.645,0.063946,-0.507814
0.65,0.0639049,-0.508686
0.655,0.0638649,-0.507358
0.66,0.063826,-0.508217
0.665,0.0637883,-0.506927
0.67,0.0637516,-0.507775
0.675,0.063716,-0.50652
0.68,0.0636814,-0.507357
0.685,0.0636477,-0.506137
0.69,0.0636151,-0.506962
0.695,0.0635833,-0.505776
0.7,0.0635525,-0.506589
0.705,0.0635225,-0.505435
0.71,0.0634934,-0.506236
0.715,0.0634651,-0.505114
0.72,0.0634376,-0.505903
0.725,0.0634109,-0.50481
0.73,0.063385,-0.505589
0.735,0.0633597,-0.504525
0.74,0.0633353,-0.505292
0.745,0.0633115,-0.504255
0.75,0.0632883,-0.505011
0.755,0.0632659,-0.504001
0.76,0.0632441,-0.504745
0.765,0.0632229,-0.503761
0.77,0.0632023,-0.504494
0.775,0.0631822,-0.503536
0.78,0.0631628,-0.504257
0.785,0.0631439,-0.503323
0.79,0.0631256,-0.504033
0.795,0.0631077,-0.503122
0.8,0.0630904,-0.503821
0.805,0.0630736,-0.502933
0.81,0.0630572,-0.503621
0.815,0.0630413,-0.502754
0.82,0.0630259,-0.503432
0.825,0.0630109,-0.502586
0.83,0.0629963,-0.503253
0.835,0.0629822,-0.502428
0.84,0.0629684,-0.503084
0.845,0.0629551,-0.502278
0.85,0.0629421,-0.502925
0.855,0.0629295,-0.502138
0.86,0.0629172,-0.502774
0.865,0.0629053,-0.502005
0.87,0.0628937,-0.502631
0.875,0.0628825,-0.50188
0.88,0.0628716,-0.502496
0.885,0.062861,-0.501762
0.89,0.0628507,-0.502368
0.895,0.0628406,-0.501651
0.9,0.0628309,-0.502247
0.905,0.0628215,-0.501547
0.91,0.0628123,-0.502133
0.915,0.0628033,-0.501448
0.92,0.0627947,-0.502025
0.925,0.0627863,-0.501356
0.93,0.0627781,-0.501923
0.935,0.0627701,-0.501268
0.94,0.0627624,-0.501826
0.945,0.0627549,-0.501186
0.95,0.0627476,-0.501735
0.955,0.0627405,-0.501109
0.96,0.0627336,-0.501649
0.965,0.0627269,-0.501036
0.97,0.0627204,-0.501567
0.975,0.0627141,-0.500967
0.98,0.062708,-0.501489
0.985,0.062702,-0.500903
0.99,0.0626963,-0.501416
0.995,0.0626906,-0.500842
1,0.0626852,-0.501347
